index,hengsheng,production_ratio,expectation,interest,investment,property,delivery,M1
102.1625,7020.545,98.04808168,91.22648625,1.393308829,21738.81125,20193.7675,323923.2083,254636.9413
102.0375,7090.52375,98.07308168,91.25902839,1.336086607,22178.22042,20510.17,327540,257423.3713
101.95,7131.962917,98.09391502,91.46512866,1.267430754,22580.61208,20872.08333,331280.2917,260088.5442
101.8625,7141.823333,98.11058168,91.67122893,1.187647024,23126.05292,21237.79958,335093.7917,262544.1571
101.7375,7064.797917,98.10224835,91.92071872,1.105924107,23703.16958,21557.31208,339061.8333,264728.5067
101.5666667,6942.743333,98.09391502,92.15936114,1.016977679,24294.79917,21742.4449,343108.9167,266670.6217
101.4041667,6827.98,98.09391502,92.18828749,0.956803075,24809.37625,21957.29074,346920.1667,268555.4363
101.2791667,6705.94375,98.08974835,92.3076087,0.94989504,25107.55038,22087.816,354006.75,270439.695
101.2125,6618.95875,98.07718647,92.81381988,0.957108532,25277.68546,22136.54802,360300.75,271751.0096
101.175,6581.227083,98.06045792,93.55867347,0.939145437,25433.71318,22295.2817,363183.125,272557.5513
101.1,6530.487917,98.03129125,93.86963177,0.899294345,25705.71964,22412.57758,366715.2083,273509.8113
100.9625,6451.5225,97.99795792,93.80816326,0.864200496,26086.16569,22357.96501,370201.5417,274341.4588
100.7791667,6346.78,97.97712459,93.92748447,0.867465972,26514.04957,22241.31379,373755.1667,275074.1083
100.5625,6226.017917,97.95212459,93.71415262,0.912240079,27066.88345,22062.15876,377249.1667,276000.37
100.3333333,6125.380833,97.92295792,93.0452307,0.960882341,27617.80943,21753.00103,380329.875,277059.0629
100.1666667,6048.583333,97.91879125,92.4305457,1.001357639,28084.77062,21727.26004,383061.7917,278096.1683
100.1,6051.775417,97.94795792,92.01111358,1.033509425,28616.72813,21687.96047,386224.4583,279427.0246
100.1041667,6096.252917,97.98129125,91.94241349,1.056585218,29192.83035,21548.41208,389879.7917,280941.6979
100.1208333,6146.882917,98.01462459,92.32930346,1.061063988,29698.04487,21612.52047,393874.375,282284.3558
100.1458333,6230.314167,98.06462459,92.69088287,1.055085814,30168.0941,21578.99019,395925.125,283712.8229
100.1625,6306.679167,98.07271694,92.80297249,1.065798512,30497.99326,21636.82738,397888.5,286214.2679
100.1333333,6339.8275,98.03072364,92.91867791,1.083843948,30684.95547,21891.53406,400641.5417,289006.3213
100.0870833,6351.162917,97.98897133,93.05246229,1.096459921,31017.59429,21790.19279,402658.3333,291451.7925
100.0533333,6363.371667,97.98480466,93.08500444,1.100392163,31485.94779,21623.79319,405247.9583,294183.6583
100.0491667,6397.426667,97.99730466,92.84636202,1.068584921,31988.42947,21671.20441,408108.4167,296859.1904
100.0866667,6433.512917,98.00563799,92.52455635,0.976973313,32608.42779,21778.25403,411430.8333,299255.9329
100.1429167,6451.145833,98.02647133,92.40885093,0.874574802,33238.59483,22128.00001,415026.9167,301484.2425
100.17,6489.592917,98.03063799,92.31484029,0.809753571,33822.44786,22170.15832,418645.625,303811.4267
100.1366667,6540.297083,98.01397133,92.22082964,0.771005059,34441.79084,22171.9045,422111.0833,306056.7921
100.07,6581.968333,97.99313799,92.13766637,0.733835813,35046.25937,22291.7816,425534.9583,308212.6975
99.99916667,6625.763333,97.96813799,91.83032387,0.684239583,35578.41248,22583.20585,428973.2083,310468.4671
99.90333333,6655.400417,97.93480466,91.55913931,0.63502371,36068.66355,23140.61972,432125.5833,312825.3708
99.7825,6630.07875,97.90143385,91.34580745,0.605901091,36408.26695,23196.52829,433823.1667,314171.155
99.6825,6593.524583,97.86814868,90.93360692,0.616959921,36600.22992,22911.41288,430336.125,315179.2329
99.63708333,6584.865833,97.85573432,90.86490683,0.657802877,36930.47504,22642.75473,427157.3333,316733.7046
99.63333333,6574.726667,97.83490099,90.99869122,0.690217163,37395.12273,22456.86559,428310.375,318134.5192
99.64166667,6569.4225,97.80990099,91.07823869,0.717746528,37906.63932,22415.4314,428854.8333,319570.735
99.64166667,6607.939583,97.80990099,91.48682342,0.783427976,38560.56402,22384.89286,428575.875,321471.6813
99.64791667,6686.585,97.78906766,92.04365572,0.847428571,39196.5992,22334.96465,427915.4167,323502.4517
99.65416667,6770.43,97.76406766,92.4920142,0.873659425,39686.41385,22416.99695,427536.2083,325114.4592
99.6625,6814.43125,97.75990099,92.86444099,0.877837996,40136.7859,22511.81511,427707.25,326482.2588
99.66666667,6829.746667,97.75990099,93.03076752,0.87679375,40606.90902,22729.35497,427423.9167,327523.8513
99.64583333,6841.032917,97.75990099,93.24771517,0.891294643,41073.80238,22677.9577,426881.75,328373.8746
99.6125,6855.865,97.74323432,93.55867347,0.905370437,41533.22403,22240.92212,426686.0833,329251.2733
99.57083333,6909.715417,97.72656766,93.7864685,0.88896131,41859.45799,21970.34817,427872.4167,331083.4021
99.52083333,6991.22875,97.72656766,94.14804791,0.824140278,42034.22397,21788.8986,430160.5,333209.2288
99.43916667,7083.818333,97.73490099,94.29267968,0.732233135,42329.73844,21615.20484,430788.3333,334348.4325
99.34333333,7240.50625,97.73490099,94.34691659,0.675683433,42692.50042,21414.57855,430791.4583,335241.4533
99.25166667,7426.81375,97.71406766,94.75550133,0.689329663,43039.9745,21161.51049,432182.2917,336372.7875
99.16416667,7560.024583,97.68073432,95.00499113,0.75129256,43517.50561,20867.31208,433796.625,337616.1921
99.04958333,7610.35625,97.65156766,94.93556788,0.819143552,43994.45037,20555.98375,435300.25,339131.6204
98.92083333,7571.639583,97.63073432,94.89145519,0.865210615,44362.34464,20234.73783,436758.5417,341321.0108
98.8,7511.880833,97.61823432,94.8878394,0.910406052,44686.02223,20242.59483,438040.9583,344152.9771
98.68791667,7476.82125,97.60990099,94.86252884,0.954922222,45022.41379,20388.90496,439415.4583,347627.3692
98.59833333,7439.283333,97.59323432,94.74682342,0.980988194,45412.86039,20237.1598,440947.5833,351739.5738
98.53708333,7381.29,97.58073432,94.54072316,1.007147222,45790.39626,19882.40881,438247.8333,356131.2913
