index,hengsheng,production_ratio,expectation,interest,investment,property,delivery,M1
101.8191667,1868.721667,97.97375,92.20636646,1.14913502,3845.778958,7645.746667,138713.4167,76406.14833
101.8558333,1977.16625,97.97333333,91.88094499,1.154143056,3902.053542,7735.75,139808.9167,77456.14958
101.9145833,2087.10125,97.98375,91.55913931,1.160114187,3981.412083,7809.707083,141147.0833,78630.17208
102.0375,2175.6175,98.02166667,91.66761313,1.230363889,4082.74375,7868.509167,142656.3333,79824.30333
102.1629167,2248.840417,98.04416667,92.20275067,1.301948413,4177.722917,7939.199583,145029.9583,81002.84208
102.2066667,2315.175833,98.04333333,92.55709849,1.350940575,4302.255417,7990.786667,147599.1667,82115.61042
102.155,2369.56375,98.03666667,92.60771961,1.428677381,4448.216667,8026.871667,149209.625,83137.83417
102.0583333,2411.585833,98.02333333,92.46308784,1.545889782,4575.284167,8063.837083,150370.375,84134.57625
101.9404167,2454.515833,98.02541667,92.26060337,1.661867956,4706.67125,8076.989583,151620.1667,85108.22292
101.8020833,2489.1975,98.03583333,92.0581189,1.774586409,4842.871667,8104.033333,152941.75,86016.1625
101.65375,2518.593333,98.02541667,91.85925022,1.837072818,4973.727083,8177.369583,154216.1667,86936.47833
101.5025,2540.139583,98.0275,91.72908163,1.845845635,4979.007917,8275.465417,154986.375,87912.49708
101.3804167,2542.260417,98.08416667,91.67122893,1.862222123,4938.490625,8336.160417,156060.2917,88959.38792
101.28625,2543.03,98.14208333,91.68207631,1.919955258,4977.438542,8357.00125,157429.3333,89898.20667
101.2191667,2547.177917,98.14958333,91.75800799,1.958471826,5040.389583,8414.742917,158575.5833,90655.9625
101.1916667,2568.720417,98.18416667,91.88094499,1.948673512,5125.492917,8510.744583,159982.0417,91402.53333
101.22625,2598.602917,98.2125,92.16297693,1.92877996,5221.489583,8589.400417,161493.0833,92153.02167
101.3279167,2627.73125,98.21041667,92.64387755,1.921802778,5352.564583,8662.89625,163103.2917,92944.51125
101.4591667,2669.358333,98.20541667,93.12839397,1.914370833,5487.532917,8808.390833,164907.9167,93763.92708
101.5916667,2717.75625,98.20583333,93.59483141,1.926416964,5605.94625,8952.449583,166731.3333,94594.93708
